"","sub_pid","client_property_id","account","actions_de","actions_en","costs","sqm","rental_units","year_construction","year_last_renovation","roof","windows","face_of_building","heating","main_type_of_use","vacancy_rate"
"443","23_00","3154","5410","Heizungsanlagen","heating system",433.3,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"444","23_00","3154","5450","Dachdecker","slater",810,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"445","23_00","3154","5600","Nicht umlegb. HM-Kosten","not addable costs",3671.1,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"446","23_00","3154","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",11885.34,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"447","23_00","3158","5200","Instandhaltungskosten","maintenance",323.81,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"448","23_00","3158","5201","Strom / Gas Leerstand","power/gas (vacancy)",7035.31,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"449","23_00","3158","5202","IH Gasgeräte","gas installations",2466.47,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"450","23_00","3158","5210","Schlosserarbeiten","locksmith",514,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"451","23_00","3158","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",5319.03,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"452","23_00","3158","5250","Sanitärinstallation","sanitary installation",5697.98,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"453","23_00","3158","5251","Reparatur Gasversorgung","repair gas supply",475.3,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"454","23_00","3158","5260","Zargen / Türen","doors",3257.46,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"455","23_00","3158","5270","Schlösser / Schlüssel","locks/keys",923,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"456","23_00","3158","5280","Malerarbeiten","painting and decorating",405.83,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"457","23_00","3158","5300","Fenster / Glaserarbeiten","windows",275.74,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"458","23_00","3158","5310","Elektroarbeiten","electrics",3486.12,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"459","23_00","3158","5340","Außenanlagen","outdoor facilities",1456,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"460","23_00","3158","5350","Klingeln","doorbells",995.3,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"461","23_00","3158","5360","Heizkörper / WMZ","heating elements",452.15,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"462","23_00","3158","5370","Notöffnungen","emergency exit",127.65,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"463","23_00","3158","5410","Heizungsanlagen","heating system",63,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"464","23_00","3158","5450","Dachdecker","slater",358.08,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"465","23_00","3158","5600","Nicht umlegb. HM-Kosten","not addable costs",3609.42,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"466","23_00","3158","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",1728.42,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"467","23_00","3159","5201","Strom / Gas Leerstand","power/gas (vacancy)",19197.42,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"468","23_00","3159","5202","IH Gasgeräte","gas installations",2383.55,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"469","23_00","3159","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",3905.15,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"470","23_00","3159","5230","Fassaden","face of a building",419.96,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"471","23_00","3159","5240","Zimmererarb./Holzschutz","carpenter work",835.07,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"472","23_00","3159","5250","Sanitärinstallation","sanitary installation",9637.02,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"473","23_00","3159","5251","Reparatur Gasversorgung","repair gas supply",2298.79,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"474","23_00","3159","5255","Betonarbeiten","concrete work",413,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"475","23_00","3159","5260","Zargen / Türen","doors",466.9,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"476","23_00","3159","5270","Schlösser / Schlüssel","locks/keys",1821.55,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"477","23_00","3159","5280","Malerarbeiten","painting and decorating",59.13,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"478","23_00","3159","5290","Fußbodenarbeiten","floor",1099.98,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"479","23_00","3159","5300","Fenster / Glaserarbeiten","windows",422,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"480","23_00","3159","5310","Elektroarbeiten","electrics",1874.13,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"481","23_00","3159","5340","Außenanlagen","outdoor facilities",5563.45,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"482","23_00","3159","5350","Klingeln","doorbells",526.38,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"483","23_00","3159","5360","Heizkörper / WMZ","heating elements",1906.63,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"484","23_00","3159","5370","Notöffnungen","emergency exit",919.55,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"485","23_00","3159","5390","Sperrmüll-Inst.","bulky waste",1239.8,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"486","23_00","3159","5410","Heizungsanlagen","heating system",284.88,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"487","23_00","3159","5450","Dachdecker","slater",958.95,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"488","23_00","3159","5600","Nicht umlegb. HM-Kosten","not addable costs",7940.55,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"489","23_00","3160","5200","Instandhaltungskosten","maintenance",228,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"490","23_00","3160","5201","Strom / Gas Leerstand","power/gas (vacancy)",464.63,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"491","23_00","3160","5210","Schlosserarbeiten","locksmith",125.46,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"492","23_00","3160","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",2204.65,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"493","23_00","3160","5250","Sanitärinstallation","sanitary installation",1420.79,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"494","23_00","3160","5260","Zargen / Türen","doors",210.15,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"495","23_00","3160","5270","Schlösser / Schlüssel","locks/keys",451.8,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"496","23_00","3160","5280","Malerarbeiten","painting and decorating",1124.93,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"497","23_00","3160","5300","Fenster / Glaserarbeiten","windows",316.34,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"498","23_00","3160","5310","Elektroarbeiten","electrics",521.54,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"499","23_00","3160","5340","Außenanlagen","outdoor facilities",1353.1,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"500","23_00","3160","5350","Klingeln","doorbells",303.2,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"501","23_00","3160","5360","Heizkörper / WMZ","heating elements",463.48,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"502","23_00","3160","5450","Dachdecker","slater",1817.2,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"503","23_00","3160","5600","Nicht umlegb. HM-Kosten","not addable costs",687.05,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"505","23_00","3161","5200","Instandhaltungskosten","maintenance",210.26,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"506","23_00","3161","5201","Strom / Gas Leerstand","power/gas (vacancy)",4545.81,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"507","23_00","3161","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",1709.47,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"508","23_00","3161","5230","Fassaden","face of a building",125,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"509","23_00","3161","5250","Sanitärinstallation","sanitary installation",3058.02,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"510","23_00","3161","5260","Zargen / Türen","doors",1046.5,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"511","23_00","3161","5270","Schlösser / Schlüssel","locks/keys",898.8,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"512","23_00","3161","5280","Malerarbeiten","painting and decorating",1464,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"513","23_00","3161","5300","Fenster / Glaserarbeiten","windows",434.55,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"514","23_00","3161","5310","Elektroarbeiten","electrics",635.41,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"515","23_00","3161","5340","Außenanlagen","outdoor facilities",175,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"516","23_00","3161","5350","Klingeln","doorbells",62.5,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"517","23_00","3161","5360","Heizkörper / WMZ","heating elements",1824.97,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"518","23_00","3161","5370","Notöffnungen","emergency exit",598.05,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"519","23_00","3161","5460","nicht umlegb. Reinigung","cleaning",105,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"520","23_00","3205","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",835.25,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"521","23_00","3205","5250","Sanitärinstallation","sanitary installation",390.3,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"522","23_00","3205","5260","Zargen / Türen","doors",230,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"523","23_00","3205","5300","Fenster / Glaserarbeiten","windows",50,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"524","23_00","3205","5450","Dachdecker","slater",1126.6,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"525","23_00","3205","5600","Nicht umlegb. HM-Kosten","not addable costs",568.77,15561,309,1978,1992,"flat","pvc","finery","district heating","residential",50
"526","24_00","3030","5200","Instandhaltungskosten","maintenance",138,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"527","24_00","3030","5201","Strom / Gas Leerstand","power/gas (vacancy)",331.8,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"528","24_00","3030","5202","IH Gasgeräte","gas installations",145.78,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"529","24_00","3030","5250","Sanitärinstallation","sanitary installation",400.76,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"530","24_00","3030","5310","Elektroarbeiten","electrics",62.01,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"531","24_00","3030","5360","Heizkörper / WMZ","heating elements",111.47,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"532","24_00","3030","5370","Notöffnungen","emergency exit",180,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"533","24_00","3030","5410","Heizungsanlagen","heating system",488.01,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"534","24_00","3030","5450","Dachdecker","slater",71.84,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"535","24_00","3030","5480","Arbeitsmittel HM/Handw."," work equipment caretaker/builder",5.94,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"536","24_00","3030","5600","Nicht umlegb. HM-Kosten","not addable costs",800.54,673,10,1900,NA,"double pitch roof","timber","finery","gas central","residential",88
"537","25_00","3013","5200","Instandhaltungskosten","maintenance",45,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"538","25_00","3013","5201","Strom / Gas Leerstand","power/gas (vacancy)",909.73,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"539","25_00","3013","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",630.56,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"540","25_00","3013","5250","Sanitärinstallation","sanitary installation",368.68,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"541","25_00","3013","5260","Zargen / Türen","doors",420.16,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"542","25_00","3013","5270","Schlösser / Schlüssel","locks/keys",597.1,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"543","25_00","3013","5280","Malerarbeiten","painting and decorating",1964.56,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"544","25_00","3013","5300","Fenster / Glaserarbeiten","windows",552.2,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"545","25_00","3013","5310","Elektroarbeiten","electrics",1213.22,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"546","25_00","3013","5340","Außenanlagen","outdoor facilities",300,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"547","25_00","3013","5350","Klingeln","doorbells",302.7,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"548","25_00","3013","5360","Heizkörper / WMZ","heating elements",112.81,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"549","25_00","3013","5390","Sperrmüll-Inst.","bulky waste",350,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"550","25_00","3013","5410","Heizungsanlagen","heating system",24.38,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"551","25_00","3013","5450","Dachdecker","slater",1266.12,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"552","25_00","3013","5460","nicht umlegb. Reinigung","cleaning",55,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"553","25_00","3013","5600","Nicht umlegb. HM-Kosten","not addable costs",1192.41,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"554","25_00","3013","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",1891.7,1003,10,1918,NA,"hipped end roof","timber","finery","district heating","residential",9
"555","26_00","3029","5205","Eigenleistungen Mieter","in-house effort tenant",17.17,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"556","26_00","3029","5250","Sanitärinstallation","sanitary installation",2391.07,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"557","26_00","3029","5270","Schlösser / Schlüssel","locks/keys",234.65,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"558","26_00","3029","5290","Fußbodenarbeiten","floor",2210.38,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"559","26_00","3029","5300","Fenster / Glaserarbeiten","windows",52.75,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"560","26_00","3029","5310","Elektroarbeiten","electrics",325,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"561","26_00","3029","5350","Klingeln","doorbells",150,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"562","26_00","3029","5360","Heizkörper / WMZ","heating elements",193.01,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"563","26_00","3029","5380","Sonstiges","other",155.04,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"564","26_00","3029","5410","Heizungsanlagen","heating system",614.81,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"565","26_00","3029","5450","Dachdecker","slater",133.51,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"566","26_00","3029","5480","Arbeitsmittel HM/Handw."," work equipment caretaker/builder",21.15,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"567","26_00","3029","5500","Capex Aussen (Mod.ausserh.d.Wohnung)","modernization outside",7568.7,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"568","26_00","3029","5600","Nicht umlegb. HM-Kosten","not addable costs",877.34,727,13,1900,NA,"hipped end roof","timber","finery","gas central","residential",6
"569","269_00",NA,"5280","Malern und Fußboden","painting and decorating",3011.7,2394,56,1936,NA,"hipped end roof","pvc","finery","gas central","residential",NA
"570","269_00",NA,"5280","Malern und Fußboden","painting and decorating",3491.5,2394,56,1936,NA,"hipped end roof","pvc","finery","gas central","residential",NA
"571","269_00",NA,"5700","Sanierung WE 16","modernization apartment",6841.12,2394,56,1936,NA,"hipped end roof","pvc","finery","gas central","residential",NA
"572","269_00",NA,"5700","Komplettsanierung WE 23","modernization apartment",5999.24,2394,56,1936,NA,"hipped end roof","pvc","finery","gas central","residential",NA
"573","269_00",NA,"5700","Sanierung WE 17","modernization apartment",1707.65,2394,56,1936,NA,"hipped end roof","pvc","finery","gas central","residential",NA
"574","269_00",NA,"5700","Wohnungssanierung WE 18","modernization apartment",5900.31,2394,56,1936,NA,"hipped end roof","pvc","finery","gas central","residential",NA
"575","269_00",NA,"5700","Wohnungssanierung WE 15","modernization apartment",5406.93,2394,56,1936,NA,"hipped end roof","pvc","finery","gas central","residential",NA
"576","269_00",NA,"5280","Malerarbeiten Trh Anhaltiner 5","painting and decorating",1320.9,2394,56,1936,NA,"hipped end roof","pvc","finery","gas central","residential",NA
"578","27_00","3011","5201","Strom / Gas Leerstand","power/gas (vacancy)",3767.68,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"579","27_00","3011","5245","Trockenbau","dry construction",99.6,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"580","27_00","3011","5250","Sanitärinstallation","sanitary installation",1336.02,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"581","27_00","3011","5260","Zargen / Türen","doors",191.82,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"582","27_00","3011","5270","Schlösser / Schlüssel","locks/keys",413.62,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"583","27_00","3011","5280","Malerarbeiten","painting and decorating",35,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"584","27_00","3011","5310","Elektroarbeiten","electrics",359.45,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"585","27_00","3011","5350","Klingeln","doorbells",957.38,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"586","27_00","3011","5360","Heizkörper / WMZ","heating elements",1158.84,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"587","27_00","3011","5370","Notöffnungen","emergency exit",75,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"588","27_00","3011","5380","Sonstiges","other",455,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"589","27_00","3011","5390","Sperrmüll-Inst.","bulky waste",385,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"590","27_00","3011","5410","Heizungsanlagen","heating system",885.26,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"591","27_00","3011","5450","Dachdecker","slater",321.5,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"592","27_00","3011","5480","Arbeitsmittel HM/Handw."," work equipment caretaker/builder",173.32,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"593","27_00","3011","5500","Capex Aussen (Mod.ausserh.d.Wohnung)","modernization outside",1878.92,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"594","27_00","3011","5600","Nicht umlegb. HM-Kosten","not addable costs",1355.94,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"595","27_00","3011","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",6458.92,1159,14,1918,NA,"double pitch roof","timber","finery","gas central","residential",35
"596","28_00","3014","5200","Instandhaltungskosten","maintenance",154.59,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"597","28_00","3014","5201","Strom / Gas Leerstand","power/gas (vacancy)",1831.24,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"598","28_00","3014","5250","Sanitärinstallation","sanitary installation",2029.8,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"599","28_00","3014","5260","Zargen / Türen","doors",716.18,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"600","28_00","3014","5270","Schlösser / Schlüssel","locks/keys",608.38,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"601","28_00","3014","5310","Elektroarbeiten","electrics",956.09,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"602","28_00","3014","5350","Klingeln","doorbells",1123.52,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"603","28_00","3014","5360","Heizkörper / WMZ","heating elements",91.09,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"604","28_00","3014","5390","Sperrmüll-Inst.","bulky waste",460,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"605","28_00","3014","5410","Heizungsanlagen","heating system",48.75,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"606","28_00","3014","5600","Nicht umlegb. HM-Kosten","not addable costs",2369.44,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"607","28_00","3014","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",11603.34,1968,30,1978,NA,"flat","pvc","cement","district heating","residential",22
"608","29_00","3015","5200","Instandhaltungskosten","maintenance",35,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"609","29_00","3015","5201","Strom / Gas Leerstand","power/gas (vacancy)",463.29,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"610","29_00","3015","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",139.48,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"611","29_00","3015","5250","Sanitärinstallation","sanitary installation",374.11,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"612","29_00","3015","5300","Fenster / Glaserarbeiten","windows",634.89,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"613","29_00","3015","5310","Elektroarbeiten","electrics",148.63,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"614","29_00","3015","5350","Klingeln","doorbells",1745.81,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"615","29_00","3015","5390","Sperrmüll-Inst.","bulky waste",372.44,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"616","29_00","3015","5410","Heizungsanlagen","heating system",2397.92,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"617","29_00","3015","5450","Dachdecker","slater",180,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"618","29_00","3015","5600","Nicht umlegb. HM-Kosten","not addable costs",700.9,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"619","29_00","3015","5700","Capex Innen (Mod.innerh.d.Wohnung)","modernization apartment",12362.84,579,11,1948,NA,"hipped end roof","pvc","finery","gas central","residential",28
"621","3_00","3152","5235","Rolladen","shutters",788.46,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"622","3_00","3152","5250","Sanitärinstallation","sanitary installation",3066.35,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"623","3_00","3152","5260","Zargen / Türen","doors",36.95,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"624","3_00","3152","5270","Schlösser / Schlüssel","locks/keys",184.24,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"625","3_00","3152","5300","Fenster / Glaserarbeiten","windows",64.85,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"626","3_00","3152","5350","Klingeln","doorbells",62.85,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"627","3_00","3152","5360","Heizkörper / WMZ","heating elements",492.23,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"628","3_00","3152","5380","Sonstiges","other",45.5,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"629","3_00","3152","5460","nicht umlegb. Reinigung","cleaning",30,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"630","3_00","3152","5600","Nicht umlegb. HM-Kosten","not addable costs",126,832,16,1972,NA,"double pitch roof","timber","finery","gas central","residential",12
"631","308_00","3006","5200","Instandhaltungskosten","maintenance",159.56,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"632","308_00","3006","5201","Strom / Gas Leerstand","power/gas (vacancy)",511.07,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"633","308_00","3006","5202","IH Gasgeräte","gas installations",135.52,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"634","308_00","3006","5220","Maurer, Putz, Fliesenarb.","brick layer, finary, tiles",619.68,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"635","308_00","3006","5250","Sanitärinstallation","sanitary installation",3885.18,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"636","308_00","3006","5260","Zargen / Türen","doors",52.83,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"637","308_00","3006","5280","Malerarbeiten","painting and decorating",315.45,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"638","308_00","3006","5310","Elektroarbeiten","electrics",3119.64,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"639","308_00","3006","5340","Außenanlagen","outdoor facilities",117,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"640","308_00","3006","5350","Klingeln","doorbells",414.3,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"641","308_00","3006","5360","Heizkörper / WMZ","heating elements",1466.64,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"642","308_00","3006","5380","Sonstiges","other",310,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"643","308_00","3006","5400","Lüftungsanlagen","ventilation plants",1429.8,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"644","308_00","3006","5410","Heizungsanlagen","heating system",1005.28,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"645","308_00","3006","5420","Schädlingsbekämpfg.-Inst.","crop spraying",300,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"646","308_00","3006","5450","Dachdecker","slater",1581.78,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"647","308_00","3006","5600","Nicht umlegb. HM-Kosten","not addable costs",886.5,740,15,1983,NA,"double pitch roof","pvc","clinker","gas central","mixed usage",40
"649","309_01","3143","5200","Instandhaltungskosten","maintenance",210.38,14676,393,1968,NA,"flat","multilayer glas","other","gas central","residential",13
"650","309_01","3143","5201","Strom / Gas Leerstand","power/gas (vacancy)",914.16,14676,393,1968,NA,"flat","multilayer glas","other","gas central","residential",13
"651","309_01","3143","5202","IH Gasgeräte","gas installations",691.78,14676,393,1968,NA,"flat","multilayer glas","other","gas central","residential",13
